N	P	M	v0	beta	num_steps
10	50	48	2.000000e-01	7.000000e-01	10000
i	V_beta	h^2	Acc.
660	2.352419e+00	3.831433e+04	0
661	2.431991e+00	3.627761e+04	1
662	2.495107e+00	3.871145e+04	1
663	2.472248e+00	3.769186e+04	1
664	2.445024e+00	3.479590e+04	1
665	2.459628e+00	3.604520e+04	1
666	2.530057e+00	3.510220e+04	1
667	2.519191e+00	3.676980e+04	1
668	2.498042e+00	3.427794e+04	1
669	2.434966e+00	3.357158e+04	1
670	2.481281e+00	3.400581e+04	1
671	2.676040e+00	4.020947e+04	1
672	2.616551e+00	3.777719e+04	1
673	2.704507e+00	4.059375e+04	1
674	2.828847e+00	3.795489e+04	1
675	2.737736e+00	4.120353e+04	1
676	2.754744e+00	3.995033e+04	1
677	2.832625e+00	3.780106e+04	1
678	2.947510e+00	4.131137e+04	1
679	2.931364e+00	3.843141e+04	1
680	2.931364e+00	4.490035e+04	0
681	3.011293e+00	3.662463e+04	1
